Kernel Name,VLSU Ports,Function Units,Vector Length,X_dim,Y_dim,Num Core Per Cluster,Num Vector Unit Per Cluster,Bank Width,Bank Num,Peak Performance (GFLOP/s),Peak Bandwidth (GB/s),Achieved Performance (GFLOP/s),Achieved Bandwidth (GB/s),Operational Intensity (FLOP/byte),Execution Time (us),Total FLOPs,Total Bytes
l1_cloud_fraction_update_no_scalar_add,64,64,8192,8192,2,1,1,32,32,128.0000,128.0000,51.01,51.01,0.1012,10287.9040,67993600,671744000
l1_cloud_fraction_update_no_scalar_add,8,8,8192,16384,2,1,1,32,32,16.0000,32.0000,102.93,102.93,0.1012,40788.1580,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,8,16,8192,16384,2,1,1,32,32,32.0000,32.0000,72.61,72.61,0.1012,57825.1090,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,8,32,8192,16384,2,1,1,32,32,64.0000,32.0000,116.49,116.49,0.1012,36040.3580,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,16,8,8192,16384,2,1,1,32,32,16.0000,64.0000,36.55,36.55,0.1012,57427.8710,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,16,16,8192,16384,2,1,1,32,32,32.0000,64.0000,57.55,57.55,0.1012,36477.3570,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,16,32,8192,16384,2,1,1,32,32,64.0000,64.0000,58.20,58.20,0.1012,36071.7630,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,32,8,8192,16384,2,1,1,32,32,16.0000,128.0000,34.74,34.74,0.1012,30215.3580,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,32,16,8192,16384,2,1,1,32,32,32.0000,128.0000,40.59,40.59,0.1012,25858.7630,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,32,32,8192,16384,2,1,1,32,32,64.0000,128.0000,41.29,41.29,0.1012,25421.1630,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,32,64,8192,16384,2,1,1,32,32,128.0000,128.0000,41.36,41.36,0.1012,25375.3630,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,64,8,8192,16384,2,1,1,32,32,16.0000,128.0000,42.10,42.10,0.1012,24928.9580,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,64,16,8192,16384,2,1,1,32,32,32.0000,128.0000,29.11,29.11,0.1012,36061.4250,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,64,32,8192,16384,2,1,1,32,32,64.0000,128.0000,52.14,52.14,0.1012,20128.5630,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,64,64,8192,16384,2,1,1,32,32,128.0000,128.0000,29.74,29.74,0.1012,35292.3630,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,8,8,8192,16384,2,4,1,32,32,16.0000,32.0000,67.63,67.63,0.1012,62081.2390,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,8,16,8192,16384,2,4,1,32,32,32.0000,32.0000,72.60,72.60,0.1012,57832.8990,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,8,32,8192,16384,2,4,1,32,32,64.0000,32.0000,118.95,118.95,0.1012,35295.8190,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,8,64,8192,16384,2,4,1,32,32,128.0000,32.0000,73.14,73.14,0.1012,57402.5370,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,16,16,8192,16384,2,4,1,32,32,32.0000,64.0000,57.54,57.54,0.1012,36483.7460,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,16,32,8192,16384,2,4,1,32,32,64.0000,64.0000,82.11,82.11,0.1012,25564.7270,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,16,64,8192,16384,2,4,1,32,32,128.0000,64.0000,58.23,58.23,0.1012,36052.3390,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,32,8,8192,16384,2,4,1,32,32,16.0000,128.0000,34.74,34.74,0.1012,30215.2940,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,32,32,8192,16384,2,4,1,32,32,64.0000,128.0000,41.26,41.26,0.1012,25436.3370,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,64,8,8192,16384,2,4,1,32,32,16.0000,128.0000,42.10,42.10,0.1012,24931.4990,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,64,16,8192,16384,2,4,1,32,32,32.0000,128.0000,50.98,50.98,0.1012,20586.4710,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,64,32,8192,16384,2,4,1,32,32,64.0000,128.0000,52.10,52.10,0.1012,20144.9460,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,8,8,8192,16384,2,8,1,32,32,16.0000,32.0000,67.62,67.62,0.1012,62091.3290,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,8,16,8192,16384,2,8,1,32,32,32.0000,32.0000,72.59,72.59,0.1012,57838.1820,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,16,8,8192,16384,2,8,1,32,32,16.0000,64.0000,51.45,51.45,0.1012,40799.0250,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,16,32,8192,16384,2,8,1,32,32,64.0000,64.0000,58.16,58.16,0.1012,36092.6250,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,32,8,8192,16384,2,8,1,32,32,16.0000,128.0000,34.73,34.73,0.1012,30223.1820,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,32,16,8192,16384,2,8,1,32,32,32.0000,128.0000,32.24,32.24,0.1012,32559.1330,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,32,32,8192,16384,2,8,1,32,32,64.0000,128.0000,41.25,41.25,0.1012,25446.6250,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,32,64,8192,16384,2,8,1,32,32,128.0000,128.0000,41.32,41.32,0.1012,25400.0250,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,64,8,8192,16384,2,8,1,32,32,16.0000,128.0000,25.91,25.91,0.1012,40514.7920,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,64,16,8192,16384,2,8,1,32,32,32.0000,128.0000,42.45,42.45,0.1012,24725.5370,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,64,64,8192,16384,2,8,1,32,32,128.0000,128.0000,50.96,50.96,0.1012,20598.3260,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,8,8,8192,16384,2,1,1,32,64,16.0000,32.0000,74.16,74.16,0.1012,56608.9630,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,8,16,8192,16384,2,1,1,32,64,32.0000,32.0000,169.73,169.73,0.1012,24735.7680,135987200,1343488000
l1_cloud_fraction_update_no_scalar_add,8,32,8192,16384,2,1,1,32,64,64.0000,32.0000,235.08,235.08,0.1012,17859.4210,135987200,1343488000
